protocol, port, name
TCP/UDP,164,CMIP/TCP Agent
TCP/UDP,165,Xerox
TCP/UDP,166,Sirius Systems
TCP/UDP,167,NAMP
TCP/UDP,168,RSVD
TCP/UDP,169,SEND
TCP/UDP,170,Network PostScript
TCP/UDP,171,Network Innovations Multiplex
TCP/UDP,172,Network Innovations CL/1
TCP/UDP,173,Xyplex
TCP/UDP,174,MAILQ
TCP/UDP,175,VMNET
TCP/UDP,176,GENRAD-MUX
TCP/UDP,177,X Display Manager Control Protocol
TCP/UDP,178,NextStep Window Server
TCP/UDP,179,Border Gateway Protocol
TCP/UDP,180,Intergraph
TCP/UDP,181,Unify
TCP/UDP,182,Unisys Audit SITP
TCP/UDP,183,OCBinder
TCP/UDP,184,OCServer
TCP/UDP,185,Remote-KIS
TCP/UDP,186,KIS Protocol
TCP/UDP,187,Application Communication Interface
TCP/UDP,188,Plus Five's MUMPS
TCP/UDP,189,Queued File Transport
TCP/UDP,190,Gateway Access Control Protocol
TCP/UDP,191,Prospero Directory Service
TCP/UDP,192,OSU Network Monitoring System
TCP/UDP,193,Spider Remote Monitoring Protocol
TCP/UDP,194,Internet Relay Chat Protocol
TCP/UDP,195,DNSIX Network Level Module Audit
TCP/UDP,196,DNSIX Session Mgt Module Audit Redir
TCP/UDP,197,Directory Location Service
TCP/UDP,198,Directory Location Service Monitor
TCP/UDP,199,SMUX
TCP/UDP,200,IBM System Resource Controller
TCP/UDP,201,AppleTalk Routing Maintenance
TCP/UDP,202,AppleTalk Name Binding
TCP/UDP,203,AppleTalk Unused
TCP/UDP,204,AppleTalk Echo
TCP/UDP,205,AppleTalk Unused
TCP/UDP,206,AppleTalk Zone Information
TCP/UDP,207,AppleTalk Unused
TCP/UDP,208,AppleTalk Unused
TCP/UDP,209,The Quick Mail Transfer Protocol
TCP/UDP,210,ANSI Z39.50
TCP/UDP,211,Texas Instruments 914C/G Terminal
TCP/UDP,212,ATEXSSTR
TCP/UDP,213,IPX
TCP/UDP,214,VM PWSCS
TCP/UDP,215,Insignia Solutions
TCP/UDP,216,Computer Associates Int'l License Server
TCP/UDP,217,dBASE Unix
TCP/UDP,218,Netix Message Posting Protocol
TCP/UDP,219,Unisys ARPs
TCP/UDP,220,Interactive Mail Access Protocol v3
TCP/UDP,221,Berkeley rlogind with SPX auth
TCP/UDP,222,Berkeley rshd with SPX auth
TCP/UDP,223,Certificate Distribution Center
TCP/UDP,224,masqdialer
TCP/UDP,242,Direct
TCP/UDP,243,Survey Measurement
TCP/UDP,244,inbusiness
TCP/UDP,245,LINK
TCP/UDP,246,Display Systems Protocol
TCP/UDP,247,SUBNTBCST_TFTP
TCP/UDP,248,bhfhs
TCP/UDP,256,RAP/Checkpoint SNMP
TCP/UDP,257,Check Point / Secure Electronic Transaction
TCP/UDP,258,Check Point / Yak Winsock Personal Chat
TCP/UDP,259,Check Point Firewall-1 telnet auth / Efficient Short Remote Operations
TCP/UDP,260,Openport
TCP/UDP,261,IIOP Name Service over TLS/SSL
TCP/UDP,262,Arcisdms
TCP/UDP,263,HDAP
TCP/UDP,264,BGMP / Check Point
TCP/UDP,265,X-Bone CTL
TCP/UDP,266,SCSI on ST
TCP/UDP,267,Tobit David Service Layer
TCP/UDP,268,Tobit David Replica
TCP/UDP,280,HTTP-mgmt
TCP/UDP,281,Personal Link
TCP/UDP,282,Cable Port A/X
TCP/UDP,283,rescap
TCP/UDP,284,corerjd
TCP/UDP,286,FXP-1
TCP/UDP,287,K-BLOCK
TCP/UDP,308,Novastor Backup
TCP/UDP,309,EntrustTime
TCP/UDP,310,bhmds
TCP/UDP,311,AppleShare IP WebAdmin
TCP/UDP,312,VSLMP
TCP/UDP,313,Magenta Logic
TCP/UDP,314,Opalis Robot
TCP/UDP,315,DPSI
TCP/UDP,316,decAuth
TCP/UDP,317,Zannet
TCP/UDP,318,PKIX TimeStamp
TCP/UDP,319,PTP Event
TCP/UDP,320,PTP General
TCP/UDP,321,PIP
TCP/UDP,322,RTSPS
TCP/UDP,333,Texar Security Port
TCP/UDP,344,Prospero Data Access Protocol
TCP/UDP,345,Perf Analysis Workbench
TCP/UDP,346,Zebra server
TCP/UDP,347,Fatmen Server
TCP/UDP,348,Cabletron Management Protocol
TCP/UDP,349,mftp
TCP/UDP,350,MATIP Type A
TCP/UDP,351,bhoetty (added 5/21/97)
TCP/UDP,352,bhoedap4 (added 5/21/97)
TCP/UDP,353,NDSAUTH
TCP/UDP,354,bh611
TCP/UDP,355,DATEX-ASN
TCP/UDP,356,Cloanto Net 1
TCP/UDP,357,bhevent
TCP/UDP,358,Shrinkwrap
TCP/UDP,359,Tenebris Network Trace Service
TCP/UDP,360,scoi2odialog
TCP/UDP,361,Semantix
TCP/UDP,362,SRS Send
TCP/UDP,363,RSVP Tunnel
TCP/UDP,364,Aurora CMGR
TCP/UDP,365,DTK
TCP/UDP,366,ODMR
TCP/UDP,367,MortgageWare
TCP/UDP,368,QbikGDP
TCP/UDP,369,rpc2portmap
TCP/UDP,370,codaauth2
TCP/UDP,371,Clearcase
TCP/UDP,372,ListProcessor
TCP/UDP,373,Legent Corporation
TCP/UDP,374,Legent Corporation
TCP/UDP,375,Hassle
TCP/UDP,376,Amiga Envoy Network Inquiry Proto
TCP/UDP,377,NEC Corporation
TCP/UDP,378,NEC Corporation
TCP/UDP,379,TIA/EIA/IS-99 modem client
TCP/UDP,380,TIA/EIA/IS-99 modem server
TCP/UDP,381,hp performance data collector
TCP/UDP,382,hp performance data managed node
TCP/UDP,383,hp performance data alarm manager
TCP/UDP,384,A Remote Network Server System
TCP/UDP,385,IBM Application
TCP/UDP,386,ASA Message Router Object Def.
TCP/UDP,387,Appletalk Update-Based Routing Pro.
TCP/UDP,388,Unidata LDM
TCP/UDP,389,Lightweight Directory Access Protocol / Internet Locator Service (ILS)
TCP/UDP,390,UIS
TCP/UDP,391,SynOptics SNMP Relay Port
TCP/UDP,392,SynOptics Port Broker Port
TCP/UDP,393,Data Interpretation System
TCP/UDP,394,EMBL Nucleic Data Transfer
TCP/UDP,395,NETscout Control Protocol
TCP/UDP,396,Novell Netware over IP
TCP/UDP,397,Multi Protocol Trans. Net.
TCP/UDP,398,Kryptolan
TCP/UDP,399,ISO Transport Class 2 Non-Control over TCP
TCP/UDP,400,Workstation Solutions
TCP/UDP,401,Uninterruptible Power Supply
TCP/UDP,402,Genie Protocol
TCP/UDP,403,decap
TCP/UDP,404,nced
TCP/UDP,405,ncld
TCP/UDP,406,Interactive Mail Support Protocol
TCP/UDP,407,Timbuktu
TCP/UDP,408,Prospero Resource Manager Sys. Man.
TCP/UDP,409,Prospero Resource Manager Node Man.
TCP/UDP,410,DECLadebug Remote Debug Protocol
TCP/UDP,411,Remote MT Protocol
TCP/UDP,412,NeoModus Direct Connect (Windows file sharing program) / Trap Convention Port
TCP/UDP,413,SMSP
TCP/UDP,414,InfoSeek
TCP/UDP,415,BNet
TCP/UDP,416,Silverplatter
TCP/UDP,417,Onmux
TCP/UDP,418,Hyper-G
TCP/UDP,419,Ariel
TCP/UDP,420,SMPTE
TCP/UDP,421,Ariel
TCP/UDP,422,Ariel
TCP/UDP,423,IBM Operations Planning and Control Start
TCP/UDP,424,IBM Operations Planning and Control Track
TCP/UDP,425,ICAD
TCP/UDP,426,smartsdp
TCP/UDP,427,Server Location
TCP/UDP,428,OCS_CMU
TCP/UDP,429,OCS_AMU
TCP/UDP,430,UTMPSD
TCP/UDP,431,UTMPCD
TCP/UDP,432,IASD
TCP/UDP,433,NNSP
TCP/UDP,434,MobileIP-Agent
TCP/UDP,435,MobilIP-MN
TCP/UDP,436,DNA-CML
TCP/UDP,437,comscm
TCP/UDP,438,dsfgw
TCP/UDP,439,dasp
TCP/UDP,440,sgcp
TCP/UDP,441,decvms-sysmgt
TCP/UDP,442,cvc_hostd
TCP/UDP,443,HTTPS
TCP/UDP,444,Simple Network Paging Protocol
TCP/UDP,445,Microsoft-DS
TCP/UDP,446,DDM-RDB
TCP/UDP,447,DDM-RFM
TCP/UDP,448,DDM-SSL
TCP/UDP,449,AS Server Mapper
TCP/UDP,450,TServer
TCP/UDP,451,Cray Network Semaphore server
TCP/UDP,452,Cray SFS config server
TCP/UDP,453,CreativeServer
TCP/UDP,454,ContentServer
TCP/UDP,455,CreativePartnr
TCP/UDP,456,macon-tcp
TCP/UDP,457,scohelp
TCP/UDP,458,apple quick time
TCP/UDP,459,ampr-rcmd
TCP/UDP,460,skronk
TCP/UDP,461,DataRampSrv
TCP/UDP,462,DataRampSrvSec
TCP/UDP,463,alpes
TCP/UDP,464,kpasswd
TCP/UDP,465,SMTPS
TCP/UDP,466,digital-vrc
TCP/UDP,467,mylex-mapd
TCP/UDP,468,proturis
TCP/UDP,469,Radio Control Protocol
TCP/UDP,470,scx-proxy
TCP/UDP,471,Mondex
TCP/UDP,472,ljk-login
TCP/UDP,473,hybrid-pop
TCP/UDP,474,tn-tl-w1
TCP/UDP,475,tcpnethaspsrv
TCP/UDP,476,tn-tl-fd1
TCP/UDP,477,ss7ns
TCP/UDP,478,spsc
TCP/UDP,479,iafserver
TCP/UDP,480,iafdbase
TCP/UDP,481,Ph service
TCP/UDP,482,bgs-nsi
TCP/UDP,483,ulpnet
TCP/UDP,484,Integra Software Management Environment
TCP/UDP,485,Air Soft Power Burst
TCP/UDP,486,avian
TCP/UDP,487,saft Simple Asynchronous File Transfer
TCP/UDP,488,gss-HTTP
TCP/UDP,489,nest-protocol
TCP/UDP,490,micom-pfs
TCP/UDP,491,go-login
TCP/UDP,492,Transport Independent Convergence for FNA
TCP/UDP,493,Transport Independent Convergence for FNA
TCP/UDP,494,POV-Ray
TCP/UDP,495,intecourier
TCP/UDP,496,PIM-RP-DISC
TCP/UDP,497,dantz
TCP/UDP,498,siam
TCP/UDP,499,ISO ILL Protocol
TCP/UDP,500,ISAKMP
TCP/UDP,501,STMF
TCP/UDP,502,asa-appl-proto
TCP/UDP,503,Intrinsa
TCP/UDP,504,citadel
TCP/UDP,505,mailbox-lm
TCP/UDP,506,ohimsrv
TCP/UDP,507,crs
TCP/UDP,508,xvttp
TCP/UDP,509,snare
TCP/UDP,510,FirstClass Protocol
TCP/UDP,511,PassGo
TCP/UDP,512,Remote process execution
TCP/UDP,513,Remote Login
TCP/UDP,514,Remote Shell
TCP/UDP,515,spooler
TCP/UDP,516,videotex
TCP/UDP,517,like tenex link but across
TCP/UDP,518,talkd
TCP/UDP,519,unixtime
TCP/UDP,520,extended file name server
TCP/UDP,521,ripng
TCP/UDP,522,User Location Service / ULP
TCP/UDP,523,IBM-DB2
TCP/UDP,524,NCP
TCP/UDP,525,timeserver
TCP/UDP,526,newdate
TCP/UDP,527,Stock IXChange
TCP/UDP,528,Customer IXChange
TCP/UDP,529,IRC-SERV
TCP/UDP,530,rpc
TCP/UDP,531,chat
TCP/UDP,532,readnews
TCP/UDP,533,for emergency broadcasts
TCP/UDP,534,MegaMedia Admin
TCP/UDP,535,iiop
TCP/UDP,536,opalis-rdv
TCP/UDP,537,Networked Media Streaming Protocol
TCP/UDP,538,gdomap
TCP/UDP,539,Apertus Technologies Load Determination
TCP/UDP,540,uucpd
TCP/UDP,541,uucp-rlogin
TCP/UDP,542,commerce
TCP/UDP,543,kerberos (v4/v5)
TCP/UDP,544,krcmd
TCP/UDP,545,appleqtcsrvr
TCP/UDP,546,DHCPv6 Client
TCP/UDP,547,DHCPv6 Server
TCP/UDP,548,AppleShare AFP over TCP
TCP/UDP,549,IDFP
TCP/UDP,550,new-who
TCP/UDP,551,cybercash
TCP/UDP,552,deviceshare
TCP/UDP,553,pirp
TCP/UDP,554,Real Time Stream Control Protocol
TCP/UDP,555,phAse Zero backdoor (Win 9x
TCP/UDP,556,rfs server
TCP/UDP,557,openvms-sysipc
TCP/UDP,558,SDNSKMP
TCP/UDP,559,TEEDTAP / Backdoor.Domwis Win32 trojan
TCP/UDP,560,rmonitord
TCP/UDP,561,monitor
TCP/UDP,562,chcmd
TCP/UDP,563,AOL IM / NNTP protocol over TLS/SSL
TCP/UDP,564,plan 9 file service
TCP/UDP,565,whoami
TCP/UDP,566,streettalk
TCP/UDP,567,banyan-rpc
TCP/UDP,568,microsoft shuttle
TCP/UDP,569,microsoft rome
TCP/UDP,570,demon
TCP/UDP,571,udemon
TCP/UDP,572,sonar
TCP/UDP,573,banyan-vip
TCP/UDP,574,FTP Software Agent System
TCP/UDP,575,VEMMI
TCP/UDP,576,ipcd
TCP/UDP,577,vnas
TCP/UDP,578,ipdd
TCP/UDP,579,decbsrv
TCP/UDP,580,SNTP HEARTBEAT
TCP/UDP,581,Bundle Discovery Protocol
TCP/UDP,582,SCC Security
TCP/UDP,583,Philips Video-Conferencing
TCP/UDP,584,Key Server
TCP/UDP,585,IMAP4+SSL
TCP/UDP,586,Password Change
TCP/UDP,587,Message Submission (Sendmail)
TCP/UDP,588,CAL
TCP/UDP,589,EyeLink
TCP/UDP,590,TNS CML
TCP/UDP,591,FileMaker Inc. - HTTP Alternate
TCP/UDP,592,Eudora Set
TCP/UDP,593,HTTP RPC Ep Map
TCP/UDP,594,TPIP
TCP/UDP,595,CAB Protocol
TCP/UDP,596,SMSD
TCP/UDP,597,PTC Name Service
